"ID","Group","Scope","Name","Requirement","Example"
"DOM-RUL-008","Domain & Division","Domains","No Domain Fragmentation","Domain pairs with 30%+ overlapping products must be merged. Forbidden pairs: network+assurance, customer+client, billing+revenue.","If two areas mostly overlap, merge them. A 'customer' area and a 'client' area covering the same people should become one, and 'billing' and 'revenue' should be combined."
"DOM-RUL-009","Domain & Division","Domains","Org Chart Test","For every domain: 'Would I find a department named this at the company headquarters?' If NO -> rename. Test: 'Would a recruiter post jobs in the [domain_name] department?'","Ask whether a real company would have a department by that name. 'customer service' would pass because companies have that department, but a vague label like 'party' usually would not."
"DOM-RUL-010","Domain & Division","Domains","Domain Fit Default KEEP","DEFAULT for every product is KEEP in its current domain. Relocate only on OBVIOUS misplacement with >95% confidence.","By default, leave each table in the area where it was placed. Only move a table to a different area when it is very clearly in the wrong place."
"DOM-RUL-011","Domain & Division","Domains","Cross-Division Relocation Forbidden","A product can ONLY be relocated within the SAME division. Cross-division relocation is ABSOLUTELY FORBIDDEN.","A table can move within the same broad grouping but not jump across very different ones. An `employee` table in the HR group should not be relocated into the production group."
"DOM-RUL-012","Domain & Division","Domains","Eponymous Entity Rule","Entities named after their domain must NEVER be moved between domains.","A table named after its own area should never leave that area. An `invoice` table living in the 'billing' area cannot be moved into 'finance'."
"DOM-RUL-013","Domain & Division","Domains","Child Follows Parent","Child tables must stay with their parent table's domain.","Keep child tables with their parent. If `order` sits in the sales area, then `order_line_item` must stay in the sales area too."
"DOM-RUL-014","Domain & Division","Domains","Domain Hard Ceiling","Domain count hard ceiling = max_domains x 1.5. Exceeding this is a hard rejection.","There is a firm upper limit on how many business areas a model can have. If the target is 18 areas, anything beyond 27 is rejected and the model is rebuilt."
"DOM-RUL-017","Domain & Division","Domains","Merge High-Overlap Domains","If two proposed domains would share 30%+ of the same tables, they should be merged.","When two proposed areas would share most of their tables, combine them. If 'customer' and 'subscriber' both contain account, profile and contact, they describe the same thing and should merge."
"DOM-RUL-018","Domain & Division","Domains","No Shared Domain Initially","Do not create a 'shared' domain during initial model design. Let the consolidation phase handle it.","Do not create a generic 'shared' area up front. Place something like a `party` table in 'customer' first, and let a later cleanup step pull truly shared tables together."
"DOM-RUL-019","Domain & Division","Domains","Merge Small Domains","Domains with fewer tables than the configured minimum may be merged into a related domain.","A tiny area can be folded into a related one. A 'warranty' area with just two tables can merge into 'service', unless the user specifically asked to keep 'warranty'."
"DOM-RUL-034","Domain & Division","Domains","Domain Bloat Ceiling (No Domain Owns >25% of Products)","No single domain may own strictly more than 25% of all products in the model. A domain holding a disproportionate share signals an under-decomposed catch-all that should be split into focused business functions. The check is a post-mutation invariant: when any domain exceeds the fraction ceiling it fires [H1-BLOAT FIRED] and surfaces the offending domain, its product share, and rule id DOM-RUL-034 for corrective decomposition. USER VIBES ARE SUPREME: if the user explicitly pins a domain to hold most products, the directive wins (the guard is advisory SHOULD_FIX).","No single area should own most of the tables. If one area called 'core' holds 12 of 20 tables while the rest are nearly empty, that area is doing too much and should be split into focused functions."
"DOM-RUL-036","Domain & Division","ALL","Per-Division Target Ratios","Domains SHOULD distribute across divisions per `divisions_ratios` ({operations:0.50, business:0.35, corporate:0.15}); the division taxonomy itself is industry-overridable (`divisions_taxonomy`, e.g. banking front/middle/back office). Per-division percentage targets, beyond the binary Ops+Bus≥80% / Corp≤20% rule.","Spread business areas across operational, customer-facing and back-office groups in roughly set proportions, and adapt the grouping names to the industry (for a bank, front, middle and back office)."
"DOM-RUL-037","Domain & Division","ALL","Tier-2 Industry-Dependent Domain Names Allowed","Forbidden domain names split into two tiers. Tier-1 (analytics, reporting, data, system, etl, logging, common, core, shared, platform…) are hard-blocked in ALL industries. Tier-2 (utilities, services, operations, support, regulatory, audit, technology, infrastructure, admin) are forbidden as vague EXCEPT when they are the canonical org-chart name in `business_context.data_domains` for THIS business. The blacklist MUST consult industry context, not reject unconditionally.","Some area names are always banned, like 'analytics' or 'system'. Others like 'support' or 'regulatory' are only allowed when they are the genuine, recognized name for that function in this particular industry."
"DOM-RUL-038","Domain & Division","ALL","Industry Vocabulary Must-Use / Prohibited Terms","`industry_vocabulary = {must_use_terms, prohibited_terms}` defines terminology the model MUST use and generic terms it MUST avoid for the specific industry. Domain/product/attribute naming must honor must_use_terms and reject prohibited_terms, beyond the global forbidden-name blacklists.","Each industry has preferred words to use and generic words to avoid. Name areas, tables and columns using the industry's real vocabulary and steer clear of the terms it considers too generic."
"DOM-RUL-039","Domain & Division","ALL","Domain Description Conciseness Ceiling","Domain descriptions MUST be concise: maximum 2-3 sentences (~100 chars for standards descriptions), focused on WHAT the domain owns, not exhaustive lists. Upper bound complementing the 20-char minimum and >70% overlap rules.","Keep an area's description short. Two or three sentences saying what the area owns is enough; do not write a long exhaustive list."
"DOM-RUL-040","Domain & Division","ALL","Subdomain Cross-Domain Name-Collision Qualified Rename","No subdomain name may appear in more than one domain. When the same subdomain name occurs across domains it MUST be renamed to a domain-qualified form (shop_floor_order_execution vs procurement_order_execution) so subdomain names are globally unambiguous.","A sub-area name should be unique across the whole model. If two areas both have an 'order execution' sub-area, rename each so it is clear which area it belongs to."
"DOM-RUL-041","Domain & Division","ALL","Identical-Domain Detection Before Cross-Domain Linking","Before creating cross-domain links, detect domain PAIRS that are actually the same domain (5+ products with same/similar names, products answering the same questions, >70% functional overlap), flag in `identical_domain_pairs` with a recommended primary, and recommend MERGE before linking rather than meshing two fragments.","Before linking two areas together, check whether they are actually the same area in disguise. If they share most of their tables, merge them first instead of stitching two halves together."
"DOM-RUL-042","Domain & Division","ALL","MVM Domains Tell a Complete WHO/WHAT/HOW Story","A limited MVM domain set MUST collectively answer WHO the business serves (primary party domain, industry-natural term), WHAT it offers (product/service), HOW transactions flow (transactional), plus any essential operational domain. Obscure/edge-case domains that don't contribute to the core narrative are avoided.","A small, focused model should still tell a complete story: who the business serves, what it offers, and how transactions flow. Leave out obscure side topics that do not contribute to that core story."
"DOM-RUL-044","Domain & Division","ALL","Division Classification — Exactly One, Decision-Tested","Each domain gets EXACTLY ONE division with no overlap, decided by explicit tests: ""directly touches customers?""→business vs ""enables service delivery?""→operations; ""generates revenue?""→business vs ""supports those who do?""→corporate; ""could the business survive a week without this domain's data?""→corporate.","Put each business area in exactly one group, decided by simple questions: does it touch customers directly, does it bring in revenue, or could the business run for a week without it."
"PRD-RUL-018","Domain & Division","Products","Distribute Shared Tables","Tables in 'shared' domain should be moved to their natural owner, unless cross-cutting reference data used by 3+ domains.","Move tables out of a generic 'shared' bucket to their natural home, unless they are reference data used by many areas. A `country` table used by five areas can stay shared; a `tariff` used only by billing should move to billing."
"ATT-RUL-082","Foreign Key","ALL","FK Population Sequence Documented; Pre-Parent Children Get Nullable FK","Every FK should document when it is populated relative to its target's creation (at creation, during a later process, or on completion). A child record that legitimately exists before its parent must carry a NULLABLE FK with a documented enrichment path, rather than having the relationship dropped.","Note when a link gets filled in relative to the record it points to. A charge that exists before its invoice is created can carry an empty invoice link at first, filled in once the invoice is generated, rather than dropping the relationship."
"REL-RUL-001","Foreign Key","Relations","FK Target Must Exist","FK must reference a product that exists in the model. Broken FK references are auto-resolved.","A link must point to a table that actually exists in the model. An `order` linking to a `customer` only works if there really is a `customer` table."
"REL-RUL-002","Foreign Key","Relations","No Bidirectional FKs","NEVER create FK relationships in BOTH directions between the same tables (A->B and B->A is forbidden).","Two tables should not point at each other. If an `order` links to a `customer`, then the `customer` table must not also link back to that `order`."
"REL-RUL-004","Foreign Key","Relations","FK Column Must Exist","FK attribute must exist in the source product before linking.","The linking column has to exist before you can use it for a link. You cannot link `order` to `customer` through a `customer_id` column if `order` has no such column."
"REL-RUL-005","Foreign Key","Relations","FK Must Reference PK","FK must reference the primary key of the target product.","A link must point to the unique identifier of the target table. An `order` should link to `customer` through `customer_id`, not through the customer's email address."
"REL-RUL-006","Foreign Key","Relations","System ID Exemption","External/system identifier columns are NOT FK columns. Patterns: *_reference, *_ref, *_code, *_number, *_hash, *_token.","Reference numbers from outside systems are not real links. Columns like `external_reference`, `legacy_code` or `batch_number` are just identifiers and should not be treated as pointers to another table."
"REL-RUL-008","Foreign Key","Relations","Broken FK and Reference Resolution","FKs referencing non-existent columns/products must be resolved: LINK, CREATE, DROP, or KEEP_AS_IS. Additionally, attributes that reference non-existent products must be removed from the model — if a domain or product was deleted, all FK references to it become orphaned and must be cleaned up.","Links that point at something no longer in the model must be cleaned up. If a 'billing' area was deleted, any column still pointing to `billing.invoice` is now dangling and should be removed."
"REL-RUL-009","Foreign Key","Relations","Self-Referencing FK Rules","Self-referencing FKs (source_product == target_product) are ONLY allowed with a contextually meaningful label prefix. The FK column name must NEVER be the same as the table PK. If you cannot articulate a clear business reason for the self-reference, do NOT create it.","A table can point back to itself only when there is a clear reason and a descriptive column name. An `employee` table can have a `manager_employee_id` pointing to another employee, but it must not reuse the plain `employee_id` for that."
"REL-RUL-010","Foreign Key","Relations","Potential and Orphaned FK Detection","Columns ending with PK suffix (_id, _key, _pk) are potential FK candidates unless exempted as system identifiers. Any such column without a foreign_key_to value is an orphaned FK candidate that should be linked to its target table if one exists.","A column that looks like a link but is not connected to anything should be hooked up. If `order` has a `warehouse_id` with no target and a `warehouse` table exists, connect them."
"REL-RUL-011","Foreign Key","Relations","FK Column Rename","FK columns that don't end with the target PK name must be renamed. 4 strategies available.","Rename a linking column so it clearly ends with the target's identifier. A vague `store_ref` pointing to a `location` table should become `store_location_id`."
"REL-RUL-012","Foreign Key","Relations","Parent-Child FK Protected","Parent-child FKs (child->parent direction) must NEVER be broken during cycle resolution. These are the structural backbone of the model. This protection applies during cycle resolution, model optimization, and any restructuring operation.","The link from a child table up to its parent is essential and must never be cut. An `order_line` pointing to its `order` is the backbone of the model and stays even when other links are trimmed."
"REL-RUL-013","Foreign Key","Relations","Multiple FKs to Same Target — Labeling Required","When a table has more than one FK pointing to the SAME target table, each FK column MUST have a distinct, contextually meaningful label prefix describing the business role. Two columns with the same name pointing to the same target is INVALID. Label prefixes must reflect actual business meaning — generic labels like fk1_, fk2_, ref_a_ are forbidden. During quality checks, multiple FK columns to the same target without distinct labels are flagged as anomalies.","When one table points to the same target twice, each link needs a meaningful name. A `shipment` can have both `origin_warehouse_id` and `destination_warehouse_id` pointing to `warehouse`, but not two columns with the same name."
"REL-RUL-014","Foreign Key","Relations","Duplicate FK Detection and Removal","If a table has two or more FK columns pointing to the same target table without a clear business reason, keep only one. Detection: two or more FK columns on the SAME table pointing to the SAME target table. Resolution: if no clear distinct business roles, keep only one. If distinct roles exist (billing vs shipping), keep both with proper label prefixes.","Drop a duplicate link that serves no distinct purpose. Two columns both pointing to `customer` with no real difference should become one, but a `billing_address_id` and `shipping_address_id` both pointing to `address` are kept because they mean different things."
"REL-RUL-015","Foreign Key","Relations","Fully Qualified FKs","FK reference values must use the fully qualified path format: domain.product.column.","Write a link using its full address: area, table, then column. 'customer.profile.profile_id' is clear, while just 'profile_id' is ambiguous about where it lives."
"REL-RUL-016","Foreign Key","Relations","No Placeholder FKs","FK reference values containing placeholder or garbage text are invalid and must be cleared.","Placeholder or junk link values are not allowed. A link set to 'tbd', 'none' or 'unknown.table.column' is meaningless and must be cleared."
"REL-RUL-027","Foreign Key","Relations","Self-Ref FK Column Naming","A self-referencing FK column MUST have a different name than the table's PK. The FK must use a contextual prefix describing the hierarchical relationship (e.g., manager_, parent_, reporting_). If the FK column name equals the PK name, the relationship is always invalid.","A self-pointing link needs a name different from the table's own identifier. An `employee` table uses `manager_employee_id` to point to another employee, never the plain `employee_id`."
"REL-RUL-028","Foreign Key","Relations","FK Name Equals Target PK Verbatim (No Double-Suffix)","A FK column name MUST EQUAL the target table's PK column name verbatim, byte-for-byte. The configured PK suffix is ALREADY part of the target PK — DO NOT append it again. The only exception is a business-role disambiguation prefix (multiple FKs to the same target with distinct roles, or a self-referencing parent FK); the suffix portion MUST still equal the target PK verbatim. (v0.8.5 M1-FIX, alias=fk-name-helper-field-widen)","A linking column should match the target's identifier name exactly, without doubling the ending. If `customer` is identified by `customer_id`, the link in `order` is `customer_id`, never `customer_id_id`."
"REL-RUL-029","Foreign Key","Relations","FK Temporal Precedence","A FK direction MUST follow the real-world chronological order of the business process. The SOURCE entity (holding the FK column) MUST come into existence AT THE SAME TIME OR LATER than the TARGET entity. An entity created EARLIER in the workflow CANNOT hold a FK to an entity created LATER. (v0.8.5 M3-FIX, alias=fk-temporal-precedence)","A link must follow the real order of events. Since an invoice comes after an order, the invoice can point back to the order, but the order cannot point forward to an invoice that does not exist yet."
"REL-RUL-030","Foreign Key","Relations","FK Cardinality Correctness","The FK column MUST live on the MANY side of a 1:N relationship. If entity X holds a single FK column pointing at entity Y but in the real world X relates to MANY Y's, the FK is on the WRONG side and must be reversed. For TRUE 1:1 relationships the FK lives on whichever side is created later. For M:N relationships, neither side holds a FK — introduce a junction table. (v0.8.5 M4-FIX, alias=fk-cardinality-correctness)","The link lives on the 'many' side. Since one customer has many orders, the `customer_id` link sits on `order`, not an `order_id` link on `customer`."
"REL-RUL-031","Foreign Key","Relations","Junction Table Purity","A junction / associative / membership / link / cross-reference entity that exists to model M:N between exactly two other entities A and B MUST hold EXACTLY (i) a FK to A, (ii) a FK to B, and OPTIONALLY (iii) relationship-attribute columns describing properties of the link itself (effective-from, effective-until, role-in-relationship, weight, rank). It MUST NOT carry a FK to any third entity C outside {A, B}. If a junction has FKs to three or more unrelated entities, it is no longer a junction — it is a hidden TRANSACTION_HEADER and the third FK is invalid. (v0.8.5, alias=junction-purity)","A pure connector table that links two things should hold only those two links plus details about the connection. An `enrollment` joining students and courses can carry a grade or date, but should not also point to an unrelated payment."
"REL-RUL-035","Foreign Key","Relations","FK-Addition Attribute Budget + Canonical-Code Advisory","FK-link proposals MUST respect a per-product attribute budget: when a source product already has >= max_attributes_per_product attributes, new FK additions to it are skipped so the product does not blow past its sizing ceiling (DROP/KEEP are never budget-blocked; CREATE evaluates the budget against the new parent). Separately, when a product carries more than 10 unlinked string columns bearing canonical FK suffixes (_code/_number/_key/_ref/_name/_type/_status/_flag/_abbr), an advisory note is emitted for the FK linker. max_attrs<=0 disables the budget (backward-compatible). Emits [REL-RUL-035 FIRED].","Do not add a new link to a table that is already at its column limit, and flag tables with many unconnected code-like columns for review. A table three columns under its limit links normally; one already over the limit is skipped."
"REL-RUL-036","Foreign Key","ALL","Business-Process FK Path Completeness","For every end-to-end business process the model claims to support (e.g. order-to-cash, procure-to-pay), the chain of entities in that process must be connected end-to-end by foreign keys, directly or through documented intermediate entities. A required link in a declared process flow must not be missing.","Every business flow the model claims to support must be connected end to end. For order-to-cash, you should be able to trace quote to order to invoice to payment through links; a missing step means the flow is broken."
"REL-RUL-037","Foreign Key","ALL","Cross-Domain FK Must Be Semantically Valid","Every cross-domain FK must connect two entities whose business meanings genuinely relate. A FK created only because two unrelated tables happen to share a column name (both have segment_id) is invalid and must be removed. Structural validity (target exists, types match, no cycle) is necessary but NOT sufficient — business meaning must also hold.","A link between areas must make real business sense, not just share a column name. If a marketing table and a network table both have `segment_id` but mean different things, do not link them."
"REL-RUL-038","Foreign Key","ALL","Person/Role FK Targets a Person Entity","A FK column whose name denotes a person role (*_inspector_id, *_auditor_id, *_reviewer_id, *_approver_id, *_technician_id, *_officer_id, *_buyer_id, etc.) must reference a person/party entity (e.g. employee, actor), never a non-person table. If no person entity exists, one must be created to hold the reference.","A column naming a person's role must point to a people table. A `work_order.inspector_id` should link to an `employee` table, not to an equipment table."
"REL-RUL-039","Foreign Key","ALL","FK Namespace Coherence","For every FK, the domain named in the foreign_key_to target path must match the domain named in that FK's description. A description that says 'links to asset.equipment' while foreign_key_to points at workforce.equipment is incoherent and must be corrected.","A link's description must name the same area it actually points to. If the description says it points to the asset area's equipment, the link itself must point to `asset.equipment`, not somewhere else."
"REL-RUL-046","Foreign Key","Metrics","Metric-View Columns Must Resolve to Real Attributes","Every column referenced by a metric view (each dimension, measure, and filter) must resolve to an attribute that actually exists on the referenced product. A metric view referencing a column that no longer exists after normalization or rename is invalid and must be repaired or dropped.","Every column used in a report definition must really exist on the table it claims to use. A report measuring the total of `net_amount` on `order` is broken if `order` has no `net_amount` column."
"ATT-RUL-004","Naming Convention","Attributes","No Product Prefix on Attributes","Column names MUST NOT repeat the table name as a prefix, except for the primary key.","Do not repeat the table name in its own columns, except for the identifier. In an `account` table, use `balance` and `type`, not `account_balance` and `account_type`; only `account_id` keeps the prefix."
"ATT-RUL-006","Naming Convention","Attributes","PK Naming Pattern","Primary key names follow the pattern: table_name + suffix (default: _id).","The identifier column is named after its table. A `customer` table has `customer_id`, an `order` table has `order_id`."
"ATT-RUL-007","Naming Convention","Attributes","FK Column Suffix Rule","Foreign key column names must END WITH the target table's primary key name. Descriptive prefixes are allowed.","A linking column ends with the identifier name of the table it points to. A `billing_address_id` ends in `address_id` so it clearly links to the `address` table."
"ATT-RUL-008","Naming Convention","Attributes","Column Name Max Length","Column names must not exceed 50 characters.","Keep column names reasonably short. A clear name like `monthly_transaction_amount` is fine, but a 65-character mouthful should be trimmed down."
"ATT-RUL-012","Naming Convention","Attributes","Semantic Attribute Names","Column names must be clear, semantic, and human-readable. Prioritize clarity over brevity.","Use clear, readable column names over cryptic shorthand. Prefer `mean_time_between_failures` to 'mtbf' so anyone can understand it."
"ATT-RUL-014","Naming Convention","Attributes","Preserve Unit Qualifiers","Preserve important qualifiers in column names: units (kg, mwh, percent), rates (per_min, per_hour), and standard terms.","Keep important qualifiers like units and rates in the name. Use `energy_consumption_mwh` rather than just `energy_consumption` so the unit is not lost."
"ATT-RUL-017","Naming Convention","Attributes","Unique Attribute Names","Each attribute name must be unique within the product. No two columns within the same table may have the same name. Duplicates are auto-deduplicated.","Two columns in the same table cannot share a name. If an `order` table needs two status fields, name them `fulfillment_status` and `payment_status`, not both `status`."
"ATT-RUL-058","Naming Convention","Attributes","Bare Attribute Name Prohibition","Generic attribute names (status, type, name, description, date, code, category, level, priority, amount, quantity, rate, score, value, count) MUST be prefixed with business context from their parent product. A bare generic name is always a violation.","Generic words need their table's context as a prefix. In an `order` table, a status field should be `order_status`, and in a `facility` table the name field should be `facility_name`."
"ATT-RUL-061","Naming Convention","Attributes","PK Casing Boundary Preservation","The PK composition pipeline MUST preserve PascalCase/camelCase word boundaries through naming convention round-trips. sanitize_name() lowercases input which destroys boundaries; the helper MUST pre-encode PascalCase word boundaries as underscores BEFORE sanitization so word boundaries survive. (v0.8.5 M2-FIX, alias=pk-casing-preserve-boundaries)","When converting names between styles, keep word breaks intact. An entity called 'CatalogItem' should produce `CatalogItemId`, not collapse into a single garbled word."
"ATT-RUL-065","Naming Convention","Attributes","Bare Reserved-Word Attribute Prefixing","An attribute whose name is a bare generic SQL/structural reserved word (status, type, name, code, date, key, value, ...) MUST be prefixed with its owning product name -> {product}_{bare_name} so the column is self-describing and join-safe. EXEMPT: primary keys, foreign keys, already-prefixed names, audit sentinels, and any name the user explicitly directs to keep/preserve (USER-KING). Bounded to 50 text-field edits per diff. Emits [BARE_ATTR_PREFIX FIRED].","A column with a bare generic name gets its table name added in front. A plain `status` in an `order` table becomes `order_status`, but identifiers and anything the user asked to keep are left alone."
"DOM-RUL-002","Naming Convention","Domains","Single-Word Domains","Domain names must be exactly one word, lowercase, SQL-compliant, no underscores, and no longer than 20 characters.","A business area name is a single lowercase word with no underscores and not too long. 'customer', 'sales' and 'logistics' are fine, but 'customer_service' (two words) is not."
"DOM-RUL-004","Naming Convention","Domains","Singular Domain Names","Domain names must be singular, never plural. Exception: naturally singular terms ending in 's' like logistics, sales, or operations.","Use the singular form for area names. Use 'customer' not 'customers', and 'product' not 'products', though naturally singular words like 'logistics' and 'sales' are fine."
"GEN-RUL-001","Naming Convention","ALL","Snake Case Default","All names (domains, tables, columns) must use snake_case by default. All names are generated in snake_case first, then converted to the user-selected casing convention (PascalCase, camelCase, SCREAMING_CASE).","Build all names in lowercase-with-underscores first, then convert to whatever style the user chose. `customer_order_date` is correct; a hyphenated 'customer-order-date' is not."
"GEN-RUL-002","Naming Convention","ALL","Valid Identifier Characters","All names must be lowercase, contain only letters, numbers, and underscores, and must not start with a digit.","Names use only lowercase letters, numbers and underscores, and cannot start with a number. `order_date` and `address_line_1` are valid; 'Order_Date' and '3rd_party_id' are not."
"GEN-RUL-003","Naming Convention","ALL","Industry Jargon Usage","Use industry jargon only when universally recognized. Otherwise prefer the full term.","Only use industry shorthand when it is widely understood. In telecom, well-known terms are fine, but inventing cryptic shortenings like 'cust_nm' for customer name is not."
"GEN-RUL-004","Naming Convention","ALL","Digit-Start Names","Names starting with a digit get an underscore prefix automatically.","A name that would start with a digit gets an underscore added in front, so '3pl' becomes '_3pl'."
"PRD-RUL-004","Naming Convention","Products","Product Name Length","Table names must be 1 to 3 words, lowercase, and no longer than 30 characters.","A table name is one to three words, lowercase, and not too long. 'profile', 'rate_schedule' and 'order_line_item' are fine; a long phrase like 'monthly_aggregated_customer_transaction_summary' is too much."
"PRD-RUL-006","Naming Convention","Products","No Domain Prefix on Products","Table names MUST NOT repeat the domain name as a prefix. In domain 'customer', the table should be 'account', NOT 'customer_account'.","Do not repeat the area name in its tables. In the 'customer' area, name the table `account`, not `customer_account`, since the full address already shows the area."
