"ID","Group","Scope","Name","Requirement","Example"
"G01-R011","Naming Convention","Products","Association Table Naming","Association (junction) table names must NOT repeat the domain name as a prefix, same as regular tables.","In the ""education"" domain, a junction table linking students and courses should be named ""enrollment"", not ""education_enrollment"". The path ""education.enrollment"" already provides domain context. Use semantically meaningful names like ""enrollment"", ""assignment"", or ""authorship"" — never generic names like ""link"", ""mapping"", or ""junction""."
"G01-R012","Naming Convention","Products","Generic Shared Tables","When two duplicate tables are merged into a shared location, use the most generic, domain-agnostic name.","When merging ""customer.interaction"" and ""support.interaction"", the merged table becomes ""shared.interaction"" — not ""shared.customer_interaction"". When merging ""customer.profile"" and ""partner.contact"" (both represent people), the merged name should be ""shared.party"" — a generic, neutral term that does not favor either domain."
"G01-R013","Naming Convention","Attributes","Semantic Column Names","Column names must be clear, semantic, and human-readable. Prioritize clarity over brevity.","Use ""mean_time_between_failures"" instead of ""mtbf"". Use ""energy_consumption_mwh"" instead of ""ec"". Use ""feed_rate_kg_per_min"" instead of ""fr_kpm"". A business user seeing ""mean_time_between_failures"" understands it instantly; ""mtbf"" requires a lookup."
"G01-R014","Naming Convention","Attributes","Preserve Qualifiers","Preserve important qualifiers in column names: units (kg, mwh, percent), rates (per_min, per_hour), and standard terms.","Use ""temperature_ramp_rate_c_per_min"" not just ""temperature_rate"". Use ""energy_consumption_mwh"" not just ""energy_consumption"". Use ""feed_rate_kg_per_min"" not just ""feed_rate"". The qualifiers ""_c_per_min"", ""_mwh"", and ""_kg_per_min"" tell you exactly what unit and rate the measurement is in."
"G01-R015","Naming Convention","ALL","Industry Jargon Limit","Use industry jargon in names only when it is universally recognized in the industry. Otherwise prefer the full term over the abbreviation.","In telecom, ""msisdn"" (mobile subscriber number), ""imei"" (device identifier), and ""arpu"" (average revenue per user) are acceptable because every telecom professional knows them. But abbreviations like ""cust_nm"" for ""customer_name"" or ""prod_cat"" for ""product_category"" are not acceptable — always use the full term when the abbreviation is not an industry standard."
"G01-R016","Naming Convention","Products","Compound Business Terms","Compound business terms are allowed as table names when removing the first word would make the name ambiguous.","""order_item"" is valid because ""item"" alone is too generic. ""payment_method"" is valid because ""method"" alone is meaningless. ""customer_segment"" is valid because ""segment"" alone is ambiguous. But ""customer_account"" inside the ""customer"" domain is NOT valid — ""account"" is clear enough on its own, so the compound duplicates the domain prefix."
"G01-R022","Naming Convention","Products","Keep Names on Relocation","When a table is moved to a different domain, keep its original name. Do not rename tables during relocation.","If the ""incident"" table is moved from the ""network"" domain to the ""operations"" domain, it stays named ""incident"" — it does not get renamed to ""operations_event"" or ""network_issue"". The table keeps its identity; only its domain address changes from ""network.incident"" to ""operations.incident""."
"G01-R023","Naming Convention","Products","Meaningful Junction Names","Association (junction) table names must be semantically meaningful business terms. Generic-only names are forbidden.","A table linking students to courses should be called ""enrollment"" — not ""student_course_link"" or ""mapping"". A table linking employees to projects should be ""assignment"" — not ""bridge"" or ""junction"". A table linking products to suppliers should be ""supply_agreement"" — not ""relationship"". If the only name you can think of is ""link"" or ""mapping"", the M:N relationship probably should not exist."
"G01-R024","Naming Convention","Products","No Analytics Suffixes","Product (table) names must NOT end with analytics-oriented suffixes: _analysis, _analytics, _report, _summary, _aggregate, _dashboard, _metrics, _kpi, _score, _model, or _prediction.","""fraud_detection"", ""churn_prediction"", ""revenue_analysis"", ""sales_summary"", ""performance_metrics"", ""usage_statistics"", and ""cdr_analysis"" are all forbidden. If a table name ends with any of these suffixes, it belongs in the analytics layer, not the business data model. Store the raw events (transactions, interactions, usage records) instead."
"G01-R025","Naming Convention","Products","Conditional Domain Prefix","A domain prefix in a product name is justified ONLY when another domain already has a table with the same base name, requiring disambiguation.","If the ""sales"" domain has a table ""order"" and the ""procurement"" domain also needs a table named ""order"", then ""sales_order"" and ""purchase_order"" are justified — the prefix disambiguates. But if no other domain has a table named ""emission"", then ""carbon.carbon_emission"" is unjustified — rename it to ""carbon.emission"" since no collision exists."
"G01-R026","Naming Convention","Products","Logical/Physical Name Match","The physical table name must exactly match the product (logical) name in snake_case. The physical column name must exactly match the attribute (logical) name. No divergence between logical and physical names is allowed.","If the logical product name is ""rate_schedule"", the physical table name must also be ""rate_schedule"" — not ""tbl_rate_schedule"", ""RATE_SCHEDULE"", or ""RateSchedule"". If the logical attribute name is ""start_date"", the physical column name must also be ""start_date"" — not ""START_DATE"", ""startDate"", or ""dt_start""."
"G02-R001","Semantic Deduplication","Products","Single Source of Truth","Each business concept must have ONE and ONLY ONE authoritative table across the entire model.","If both the ""customer"" domain and the ""subscriber"" domain have a table storing people's names, emails, and phone numbers, only one can be the authoritative source. The other domain must reference it via foreign key. A business user asking ""who is this person?"" should never have to choose between two competing tables."
"G02-R002","Semantic Deduplication","Products","Conservative Duplicate Detection","Duplicate detection must be conservative. Only flag tables as duplicates when they clearly represent the same business concept with high confidence.","Two tables with 70% similar columns should NOT automatically be flagged as duplicates. A ""customer_complaint"" table and a ""customer_feedback"" table may look similar but serve different business purposes — complaints track issues for resolution while feedback captures satisfaction for product improvement. Only flag duplicates when confidence exceeds 80%."
"G02-R003","Semantic Deduplication","Products","Resolve Cross-Domain Party Dups","The same party/person concept in multiple domains is a duplicate that must be resolved.","If the ""customer"" domain has a ""profile"" table with name, email, and phone, and the ""subscriber"" domain also has a ""profile"" table with the same person data, these are duplicates. Whether you call them ""customer"", ""subscriber"", ""client"", ""member"", or ""policyholder"", they all represent the same thing — a person. Designate one as authoritative and have all others reference it."
"G02-R004","Semantic Deduplication","Products","Industry Synonyms are Duplicates","Industry synonyms for the same concept are duplicates.","A ""billing.invoice"" table and a ""finance.bill"" table represent the same concept — a charge sent to a customer. Similarly, ""network.usage"" and ""metering.consumption"" both track resource utilization. Column-level synonyms also apply: ""termination_date"" and ""end_date"" mean the same thing, as do ""creation_date"" and ""created_at"". Pick one canonical name and use it everywhere."
"G02-R005","Semantic Deduplication","Products","Master vs Transactional","Master data and transactional data are NEVER duplicates, even if they share similar names.","""customer.profile"" (master data describing who the customer is) and ""customer.subscription"" (transactional data describing what the customer bought) are fundamentally different. Similarly, ""product_catalog"" (master — what is available) and ""order"" (transactional — what was purchased) are not duplicates. Master data changes slowly; transactional data grows continuously."
"G02-R006","Semantic Deduplication","Products","Distinct Lifecycle Stages","Different lifecycle stages are NOT duplicates.","A ""quote"" table (a proposed deal) and an ""order"" table (a confirmed deal) represent different stages of the sales process. A ""raw_usage"" table (unprocessed metering data) and ""rated_usage"" (priced metering data) capture different processing stages. A ""draft_catalog"" and ""published_catalog"" are different lifecycle states. Keep all of them."
"G02-R007","Semantic Deduplication","Products","Distinct Granularity Levels","Different granularity levels are NOT duplicates.","A ""usage_event"" table storing every individual call or data session (one row per event) and an ""aggregated_usage"" table summarizing monthly totals (one row per customer per month) exist at different granularity levels. Analysts need the detail records for drill-down investigation and the summaries for dashboard reporting. These are not duplicates."
"G02-R008","Semantic Deduplication","Products","Parent/Child Distinction","Parent and child entities are structurally different and must both be kept.","An ""order"" table (parent) contains header information like date, customer, and total amount. An ""order_item"" table (child) contains line-level details like product, quantity, and unit price. They are not duplicates — the order groups the items, and the items detail the order. Similarly, ""purchase_order"" (parent) and ""purchase_order_line"" (child) must both exist."
"G02-R009","Semantic Deduplication","Products","Merge High-Overlap Tables","When two tables from different domains overlap significantly (60% or more of their purpose), prefer merging them into a shared location over deleting one.","If ""customer.interaction"" and ""support.interaction"" share 85% of the same columns and purpose, merge them into ""shared.interaction"" rather than deleting one. The merged table inherits all unique columns from both sources, so nothing is lost. Deleting one would risk losing the columns that were unique to it."
"G02-R010","Semantic Deduplication","Attributes","Discriminator Columns","When merging overlapping tables, add a discriminator column to preserve the original domain context.","After merging ""customer.interaction"" and ""support.interaction"" into ""shared.interaction"", add a column ""interaction_source_type"" with values 'customer' or 'support'. After merging ""customer.profile"" and ""partner.contact"" into ""shared.party"", add ""party_type"" with values 'customer' or 'partner'. This lets users filter: ""show me only support interactions"" or ""show me only partner parties""."
"G02-R011","Semantic Deduplication","Products","High Deletion Threshold","Only remove a table as a duplicate if the overlap with another table is 85% or higher.","If ""billing.payment_record"" and ""finance.payment"" overlap by 75%, do NOT remove either — the 25% difference likely represents important domain-specific attributes. Only at 85% or higher overlap (like ""billing.invoice"" and ""accounting.bill"" sharing 90% of their columns and purpose) is removal justified."
"G02-R012","Semantic Deduplication","Domains","Domain Merge Threshold","Only merge two domains if their functional overlap exceeds 60%.","If two proposed domains ""customer_service"" and ""customer_support"" share 65% of the same tables and concepts, they should be merged into a single ""customer"" domain. But if ""sales"" and ""marketing"" only share 40% of their concepts, they represent distinct business functions and should remain separate domains."
"G02-R013","Semantic Deduplication","Products","Preserve Core Tables","Core business tables that are fundamental to operations must NEVER be merged into a shared domain or removed.","The ""customer.profile"" table, ""billing.invoice"" table, and ""sales.order"" table are fundamental to business operations. Even if a similar ""shared.party"" table exists, you cannot merge ""customer.profile"" into it and delete the original. Core tables stay in their authoritative domain — they are the identity of the business model."
"G02-R014","Semantic Deduplication","Products","Generic vs Domain-Specific","If one table is generic and another is domain-specific, they are NOT duplicates. Keep both.","""shared.party"" is a generic table that stores all types of parties — vendors, partners, employees, and customers. ""customer.profile"" is a domain-specific table with customer-only attributes like loyalty tier and marketing preferences. They are NOT duplicates. Similarly, ""shared.location"" (generic coordinates) and ""mining.site"" (mine-specific attributes) complement each other."
"G02-R015","Semantic Deduplication","Products","Cross-Domain Name Collisions","Tables with the same name in different domains but representing different business concepts are NOT duplicates.","""customer.device"" (a phone or laptop the customer purchased) and ""iot.device"" (a sensor deployed in the network infrastructure) both use the name ""device"" but represent entirely different business concepts with different attributes. The customer device has purchase date and warranty; the IoT device has firmware version and signal strength. Name collision does not equal duplication."
"G02-R016","Semantic Deduplication","Attributes","High-Confidence Column Deduplication","When checking for duplicate columns within a table, only flag them with 80% or higher confidence.","In a table with both ""termination_date"" and ""end_date"", these are likely duplicates at 90%+ confidence — flag them. But ""start_date"" and ""effective_date"" might have subtle business differences (a contract might start on one date but become effective on another) — if confidence is only 60%, do NOT flag them as duplicates."
"G02-R017","Semantic Deduplication","Domains","Unique Domain Names","No two domains may have the same name.","You cannot have two domains both named ""finance"". If one handles accounting and the other handles investment management, they need distinct names like ""accounting"" and ""investment"". Duplicate domain names would make paths like ""finance.ledger"" ambiguous — which finance domain does it belong to?"
"G02-R018","Semantic Deduplication","Products","Unique Table Names per Domain","No two tables within the same domain may have the same name.","Within the ""customer"" domain, you cannot have two tables both named ""profile"". If one stores personal details and the other stores preferences, name them ""profile"" and ""preference"". The path ""customer.profile"" must point to exactly one table."
"G02-R019","Semantic Deduplication","Attributes","Unique Column Names per Table","No two columns within the same table may have the same name.","A table cannot have two columns both named ""status"". If one tracks order fulfillment status and the other tracks payment status, they must have distinct names — in this case, they likely belong in their respective tables (order and payment) rather than being duplicated in one place."
"G02-R020","Semantic Deduplication","Attributes","Protect Key Attributes","Primary key and foreign key attributes are protected from removal during attribute deduplication. They must never be flagged or removed as duplicates, regardless of name similarity.","If a table has both ""customer_id"" (FK to customer) and ""client_id"" (a business attribute), only ""client_id"" can be considered for dedup — ""customer_id"" is a protected FK. If a table has ""order_id"" (PK) and another column that looks similar, the PK is never a dedup candidate. Even if ""employee_id"" (FK) and ""staff_id"" (business attribute) look redundant, the FK is protected and only the business attribute can be evaluated."
"G02-R021","Semantic Deduplication","Products","Consolidate Similar Cross-Domain Tables","When tables with the same name exist in different domains, consolidate them into the primary domain if their attribute overlap is 70% or higher. If overlap is below 70%, keep both but rename the secondary with a domain prefix for disambiguation.","If ""sales.order"" and ""procurement.order"" share 75% of their attributes, consolidate into one — they represent the same concept. But if ""customer.device"" and ""iot.device"" share only 30% of attributes, keep both and rename the secondary to ""iot.iot_device"" to disambiguate. The 70% threshold separates genuine duplicates from name collisions."
"G03-R001","Foreign Key","Relations","Reference PK Only","A foreign key must always reference the actual primary key column of the target table, not some other column.","If the ""order"" table has a foreign key to the ""customer"" table, it must reference ""customer_id"" (the actual primary key), not ""customer_email"" or ""customer_code"" — even if those columns happen to be unique. If a FK accidentally points to the wrong column, it must be corrected to point to the real PK."
"G03-R002","Foreign Key","Relations","Limited Self-Referencing FKs","NEVER create a self-referencing foreign key UNLESS the column name starts with a recognized hierarchical prefix.","""employee.manager_employee_id"" referencing the same ""employee"" table is allowed because it starts with ""manager_"" — it represents a reporting hierarchy. ""category.parent_category_id"" is allowed because it starts with ""parent_"" — it represents a category tree. But a generic ""employee.employee_id"" referencing itself without a hierarchical prefix is blocked. If you need a hierarchy but cannot use one of the recognized prefixes, create a separate hierarchy table instead."
"G03-R003","Foreign Key","Relations","No Bidirectional FKs","NEVER create bidirectional foreign keys between two tables.","If the ""order"" table has ""customer_id"" pointing to the ""customer"" table, then the ""customer"" table must NOT have a ""latest_order_id"" pointing back to the ""order"" table. This would create a chicken-and-egg problem: you cannot insert a customer without an order, and you cannot insert an order without a customer."
"G03-R004","Foreign Key","Attributes","Match Data Types","The data type of a foreign key column must match the data type of the primary key it references.","If the ""customer"" table has ""customer_id"" of type BIGINT, then every foreign key referencing it (like ""order.customer_id"") must also be BIGINT. A STRING foreign key trying to join to a BIGINT primary key will either fail or produce incorrect results depending on the database platform. Numeric types (BIGINT, INT) are compatible with each other; string types (STRING, VARCHAR) are compatible with each other; but mixing across groups is not allowed."
"G03-R005","Foreign Key","Relations","No Dangling FKs","Every foreign key must point to a table that actually exists in the model.","If the ""order"" table has ""warehouse_id"" claiming to reference ""warehouse.warehouse_id"", but no ""warehouse"" table exists anywhere in the model, this is a dangling reference. It must be fixed by either creating the missing warehouse table or removing the foreign key annotation from the column."
"G03-R007","Foreign Key","Attributes","System Identifiers are Not FKs","System identifier columns (ending in _reference, _ref, _code, _number) are NOT foreign key candidates.","Columns like ""external_reference_id"", ""batch_number"", ""country_code"", ""currency_code"", ""legacy_ref"", and ""source_system"" are business identifiers or system references — not foreign keys to other tables. Even though ""country_code"" ends with ""_code"", it is a standard ISO value, not a relationship to a ""country"" table. Do not create FK relationships for these columns."
"G03-R008","Foreign Key","Relations","Prefer Shared Domain Targets","When a foreign key column name could match tables in multiple domains, prefer the table in the 'shared' domain.","If ""order.address_id"" could reference either ""customer.address"" or ""shared.address"", prefer ""shared.address"" as the target because shared-domain tables are designed to serve as cross-domain reference points. The shared domain exists precisely for these ambiguous cases where multiple domains have similar tables."
"G03-R010","Foreign Key","Relations","Remove Redundant Columns Post-FK","When a new FK relationship is added, identify and remove columns that are now redundant.","After adding ""customer_id"" as a foreign key on the ""order"" table, remove ""customer_name"" and ""customer_email"" from the order table — those values are now accessible by joining to the customer table. Similarly, after adding ""address_id"" to an account table, remove embedded address fields like ""street"", ""city"", ""state"", and ""zip_code""."
"G03-R014","Foreign Key","Relations","Role-Qualified FKs","Role-qualified foreign keys are valid. Multiple FK columns can reference the same target table using descriptive prefixes.","An ""order"" table can have both ""billing_address_id"" and ""shipping_address_id"", both referencing the same ""address"" table. A ""trip"" table can have ""source_warehouse_id"" and ""destination_warehouse_id"", both referencing the ""warehouse"" table. A ""project"" table can have ""hiring_manager_id"" and ""reporting_manager_id"", both referencing the ""employee"" table. Each FK plays a distinct business role."
"G03-R015","Foreign Key","Relations","Preserve Parent-Child FKs","Parent-child foreign keys (child referencing its parent) must NEVER be removed during model optimization or cycle breaking.","The ""order_item.order_id"" foreign key linking each line item to its parent order must never be removed, even if it participates in a cycle. Similarly, ""purchase_order_line.purchase_order_id"" linking a PO line to its parent PO is sacred. These parent-child links are the structural backbone — breaking them would make the child records orphans with no connection to their parent."
"G03-R018","Foreign Key","Relations","Remove Duplicate FKs","If a table has two or more foreign key columns pointing to the same target table without a clear business reason, keep only one.","If a table has both ""customer_id"" and ""client_id"" pointing to the same ""customer"" table with no distinct business roles, this is a duplicate — keep only one. But if a table has ""billing_address_id"" and ""shipping_address_id"" both pointing to the ""address"" table, keep both because they serve different business roles (where to bill vs where to ship)."
"G03-R020","Foreign Key","Relations","Fully Qualified FKs","FK reference values must use the fully qualified path format: domain.product.column.","""customer.profile.profile_id"" is a properly formatted FK reference — it specifies the domain (customer), the product (profile), and the column (profile_id). ""profile.profile_id"" without a domain is ambiguous if multiple domains have a ""profile"" table. ""profile_id"" alone is completely unresolvable."
"G03-R021","Foreign Key","Relations","No Placeholder FKs","FK reference values containing placeholder or garbage text are invalid and must be cleared.","An attribute with foreign_key_to = ""unknown.table.column_id"" is invalid — clear it. ""none"" as a FK target is invalid — clear it. ""<pending_resolution>"" is invalid — clear it. ""tbd"" is invalid — clear it. After clearing, the attribute remains in the table but has no FK annotation, signaling that the relationship has not been established rather than faking one with placeholder text."
"G04-R001","Primary Key","Products","Mandatory PKs","Every table MUST have a primary key. No exceptions.","A ""payment"" table must have ""payment_id"" as its primary key. An ""enrollment"" junction table must have ""enrollment_id"". Even small reference tables like ""country"" must have ""country_id"". A table without a primary key cannot guarantee row uniqueness and cannot be reliably referenced by foreign keys from other tables."
"G04-R002","Primary Key","Attributes","Default PK Pattern","When no primary key is explicitly defined, default to the pattern table_name + _id.","The ""customer"" table automatically gets ""customer_id"", the ""order"" table gets ""order_id"", the ""invoice"" table gets ""invoice_id"", and the ""rate_schedule"" table gets ""rate_schedule_id"". If someone creates a table and forgets to define a PK, this pattern is applied automatically so the model stays consistent."
"G04-R003","Primary Key","Attributes","Numeric PK Preference","Primary keys should use a numeric type (BIGINT by default) unless there is a specific business reason for a different type.","""customer_id BIGINT"", ""order_id BIGINT"", ""payment_id BIGINT"" are the standard. Numeric types are compact (8 bytes), fast to compare, and efficient for indexing and joining. Use STRING type only when the business requires it — for instance, if the company uses UUIDs as identifiers or if the primary key is a natural business code like an ISO country code."
"G04-R005","Primary Key","Attributes","Own PK is Not an Orphan FK","A table's own primary key is never treated as an orphaned foreign key.","The column ""employee_id"" in the ""employee"" table ends with ""_id"" and looks like it could be a foreign key to an ""employee"" table — but it IS the employee table's own primary key. It should be skipped during orphaned FK detection, not linked to itself. Similarly, ""order_id"" in the ""order"" table is the order's identity, not a reference to some other table."
"G04-R006","Primary Key","Products","Single PK on Merge","When two tables are merged, only one primary key survives.","If ""customer.interaction"" (with ""interaction_id"") and ""support.interaction"" (with ""interaction_id"") are merged into ""shared.interaction"", the merged table has a single ""interaction_id"" primary key. The old PKs from both source tables are replaced by this one. You cannot have two primary keys in one table."
"G04-R007","Primary Key","Products","New PKs on Split","When a table is split into multiple tables, each new table gets its own primary key.","If a bloated ""customer"" table is split into ""profile"" and ""preference"", the new tables get ""profile_id"" and ""preference_id"" respectively — each following the standard table_name + _id pattern. The original ""customer_id"" does not carry over as-is to either table; each new entity gets its own properly named primary key."
"G04-R009","Primary Key","Attributes","Junction Table PKs","Association (junction) tables follow the same PK naming convention: the association table name + _id.","A junction table called ""enrollment"" linking students to courses gets ""enrollment_id"" as its PK. A junction table called ""assignment"" linking employees to projects gets ""assignment_id"". A junction table called ""authorship"" linking books to authors gets ""authorship_id"". The PK is always the table's own semantic name + _id, not a composite of the two related table names."
"G04-R010","Primary Key","Attributes","Validate PK Names","A primary key name is invalid if it is: empty, the bare suffix alone, starts with an underscore, equals ""id"", or does not end with the suffix.","For a ""customer"" table: ""customer_id"" is valid. ""_customer_id"" is invalid (leading underscore). ""id"" is invalid (generic, no table context). ""_id"" is invalid (bare suffix, no table name). ""customer_code"" is invalid (does not end with _id suffix). ""cust"" is invalid (no suffix at all). Each of these must be corrected to ""customer_id"" following the table_name + _id pattern."
"G05-R001","Normalization","Attributes","High-Confidence Denormalization Flags","Only flag a column as denormalized when you are highly confident (95%+) that it is a copy of data from another table.","""customer_name"" on the ""order"" table is clearly a copy of the name from the ""customer"" table when a ""customer_id"" FK already exists — flag it at 98% confidence. But ""description"" on the ""order"" table might seem similar to ""description"" on the ""product"" table, yet they describe different things (order notes vs product specs) — do not flag it at only 60% confidence."
"G05-R002","Normalization","Attributes","Intrinsic Properties Retained","Columns that describe properties of the table itself are NEVER denormalized.","""depth"" on the ""mine"" table is the mine's own depth — it is NOT a copy from some other table. ""hole_diameter"" on the ""drill_hole"" table is the drill hole's own measurement. Even if a ""well"" table and a ""mine"" table both have a ""depth"" column, they independently own that property. Self-attributes are never denormalized."
"G05-R003","Normalization","Attributes","Measurements Retained","Measurement and property columns always belong to their entity.","""quantity"" on the ""order_item"" table is the item's own quantity ordered — keep it. ""tonnage"" on the ""stockpile"" table is the stockpile's own weight measurement. ""temperature"" on the ""reactor"" table is the reactor's current reading. ""cost"" on the ""purchase_order"" table is the PO's total cost. These measurements are intrinsic to their entity and must never be removed as denormalization."
"G05-R004","Normalization","Attributes","Do Not Remove in Doubt","When in doubt about whether a column is denormalized, do NOT remove it.","If you are unsure whether ""region_name"" on the ""sales_territory"" table is a copy from a ""region"" table or a property of the territory itself, keep it. Wrongly removing it would destroy data that may be the only place this information is stored. A slightly denormalized model still works; a model with missing essential columns is broken."
"G05-R005","Normalization","Attributes","Allow Strategic Denormalization","If a column has a legitimate business reason to exist in a table despite technically violating 3NF, keep it.","Storing ""customer_name"" on an ""invoice"" table technically violates 3NF because the name lives in the ""customer"" table. But if the business needs to preserve the customer name at the time of invoicing (since names can change later) for audit trail purposes, this is a legitimate business reason to keep it. The column serves as a historical snapshot, not just a redundant copy."
"G05-R006","Normalization","Relations","Link Orphaned FKs","Columns that end with the PK suffix (like _id) but have no foreign key relationship defined are orphaned FKs that should be linked.","If the ""order"" table has a column ""warehouse_id"" with no foreign key annotation, but a ""warehouse"" table exists in the model, this is an orphaned FK. It should be formally linked: order.warehouse_id references warehouse.warehouse_id. The relationship was clearly intended (the naming makes it obvious) but was never formalized. Linking it completes the model."
"G05-R007","Normalization","Relations","Add FK Before Cleanup","When fixing denormalization, always add the foreign key relationship FIRST, then remove the redundant columns SECOND.","If the ""order"" table has ""customer_name"" and ""customer_email"" but no ""customer_id"" FK, do NOT delete the name and email first. Step 1: Add ""customer_id"" as a foreign key to the ""customer"" table. Step 2: Only after the FK link is in place, remove ""customer_name"" and ""customer_email"" since they can now be accessed through the join. Reversing this order would lose the customer reference entirely."
"G05-R008","Normalization","Attributes","Conditional Address Denormalization","Address columns are denormalized ONLY if the table is NOT an address or location table AND a separate address table exists.","If the ""account"" table has columns ""address_line_1"", ""city"", ""state"", ""zip_code"" AND a separate ""address"" table exists in the model, those address columns on ""account"" are denormalized — replace them with an ""address_id"" FK. But if the table IS the ""address"" table, those columns obviously belong there. And if no separate address table exists anywhere in the model, the embedded columns might be the only source of that data — keep them."
"G05-R009","Normalization","Attributes","Coordinates on Physical Entities","Geographic coordinates are denormalized ONLY on tables that are NOT physical or spatial entities.","""latitude"" and ""longitude"" on the ""mine"" table are the mine's own physical location — keep them. Same for ""warehouse"", ""store"", ""drill_hole"", ""sensor"", or ""plant"" — these are physical things with inherent locations. But ""latitude"" and ""longitude"" on a ""customer"" table or ""invoice"" table are likely copied from a location entity and should be replaced with a ""location_id"" FK."
"G05-R010","Normalization","Attributes","Conditional Name Denormalization","Columns like customer_name or customer_code are denormalized ONLY when the customer table exists AND a customer_id FK already exists.","If the ""order"" table has ""customer_id"" (FK to customer) AND ""customer_name"", then ""customer_name"" is redundant — it can be retrieved by joining on ""customer_id"". Remove it. But if the ""order"" table has ""customer_name"" with NO ""customer_id"" FK, then ""customer_name"" might be the only link to the customer. In that case, the problem is a missing FK (orphaned reference), not denormalization."
"G05-R012","Normalization","Attributes","Strict Orphaned FK Identifiers","Only columns ending with the standard primary key suffix (like _id) should be considered as potential orphaned foreign keys.","""warehouse_id"" ending in ""_id"" is a candidate for an orphaned FK — investigate if a ""warehouse"" table exists. But ""country_code"", ""batch_number"", ""external_reference"", ""currency_code"", and ""legacy_ref"" should NOT be treated as FK candidates, even though they look like identifiers. They are business codes or system references, not relationships to other tables in the model."
"G05-R013","Normalization","Attributes","Do Not Invent Synonyms","During attribute deduplication, only choose among existing attribute names. Never introduce a new attribute name.","If a table has both ""termination_date"" and ""end_date"" and they are semantically the same, pick ONE of those two existing names — do not create a new name like ""conclusion_date"" or ""close_date"" that nobody asked for. Similarly, if ""created_at"" and ""creation_date"" are duplicates, choose one of those exact names, not ""date_created"" or ""record_creation_timestamp""."
"G05-R014","Normalization","Attributes","Exact Prefix Match for Denorm","When flagging denormalization violations, only flag a column when its name prefix EXACTLY matches a table name.","""customer_name"" on the ""order"" table is a valid denormalization candidate because the prefix ""customer"" exactly matches the ""customer"" table. But ""client_name"" on the ""order"" table is NOT a candidate even though ""client"" might be a synonym for ""customer"" — there is no ""client"" table in the model. Similarly, ""subscriber_email"" is NOT a violation just because a ""customer"" table exists. Only exact table name matches count."
